#{"t_start": 1588858822.4834797, "env_id": null}
r,l,t
-3.972222,1,1.690853
-4.027778,1,1.692853
-4.027778,1,1.694844
-4.027778,1,1.69584
-4.027778,1,1.697835
-3.972222,1,1.817515
-3.972222,1,1.818513
-4.027778,1,1.820506
-3.972222,1,1.821507
-4.027778,1,1.823498
-3.972222,1,1.828486
-4.027778,1,1.830485
-3.972222,1,1.832474
-4.027778,1,1.833472
-3.972222,1,1.835467
-3.972222,1,1.840453
-3.972222,1,1.842448
-4.027778,1,1.844444
-4.027778,1,1.847435
-3.972222,1,1.84943
-4.027778,1,1.855413
-3.972222,1,1.856438
-3.972222,1,1.858407
-3.972222,1,1.860403
-3.972222,1,1.861398
-4.027778,1,1.867383
-4.027778,1,1.868379
-4.027778,1,1.870375
-4.027778,1,1.871371
-3.972222,1,1.873372
-3.972222,1,1.878352
-3.972222,1,1.880347
-3.972222,1,1.881345
-4.027778,1,1.883352
-4.027778,1,1.884336
-4.027778,1,1.889322
-4.027778,1,1.891318
-3.972222,1,1.893313
-4.027778,1,1.894312
-3.972222,1,1.896304
-3.972222,1,1.901297
-3.972222,1,1.902289
-4.027778,1,1.904291
-3.972222,1,1.905281
-4.027778,1,1.907274
-3.972222,1,1.912262
-3.972222,1,1.914256
-3.972222,1,1.915254
-3.972222,1,1.917248
-3.972222,1,1.918245
-3.972222,1,1.923233
-4.027778,1,1.925231
-4.027778,1,1.927235
-3.972222,1,1.92822
-3.972222,1,1.930213
-4.027778,1,1.935199
-3.972222,1,1.937195
-3.972222,1,1.938193
-3.972222,1,1.940187
-4.027778,1,1.941185
-4.027778,1,1.94617
-3.972222,1,1.948172
-3.972222,1,1.949164
-4.027778,1,1.951167
-4.027778,1,1.953152
-4.027778,1,1.957141
-3.972222,1,1.959137
-3.972222,1,1.961131
-3.972222,1,1.962129
-4.027778,1,1.964123
-4.027778,1,1.96911
-3.972222,1,1.970108
-3.972222,1,1.972101
-3.972222,1,1.973099
-4.027778,1,1.975093
-3.972222,1,1.980085
-4.027778,1,1.982076
-4.027778,1,1.983073
